,precision,recall,f1-score,support
Lindell Wigginton,0.0,0.0,0.0,1.0
Lindy Waters III,0.0,0.0,0.0,1.0
Lonnie Walker IV,0.0,0.0,0.0,1.0
Lorenzo Brown,0.0,0.0,0.0,1.0
Lou Amundson,0.0,0.0,0.0,1.0
Lou Williams,0.0,0.0,0.0,3.0
Luc Mbah a Moute,0.0,0.0,0.0,1.0
Lucas Nogueira,0.0,0.0,0.0,1.0
Luguentz Dort,0.0,0.0,0.0,1.0
Luis Scola,0.0,0.0,0.0,4.0
Luka Garza,0.0,0.0,0.0,1.0
Luka Samanic,0.0,0.0,0.0,1.0
Luke Babbitt,1.0,0.5,0.6666666666666666,2.0
Luke Kennard,0.0,0.0,0.0,4.0
Luke Kornet,0.0,0.0,0.0,1.0
Luke Ridnour,0.0,0.0,0.0,0.0
Luke Zeller,0.0,0.0,0.0,1.0
Luol Deng,0.0,0.0,0.0,4.0
Maalik Wayns,0.0,0.0,0.0,1.0
Mac McClung,0.0,0.0,0.0,1.0
Malachi Flynn,0.0,0.0,0.0,0.0
Malachi Richardson,0.0,0.0,0.0,0.0
Malaki Branham,0.0,0.0,0.0,1.0
Malcolm Brogdon,0.0,0.0,0.0,3.0
Malcolm Delaney,0.0,0.0,0.0,0.0
Malcolm Miller,0.0,0.0,0.0,2.0
Malcolm Thomas,0.0,0.0,0.0,1.0
Malik Beasley,1.0,0.3333333333333333,0.5,3.0
Malik Monk,0.0,0.0,0.0,1.0
Manny Harris,0.0,0.0,0.0,0.0
Manu Ginobili,1.0,1.0,1.0,2.0
MarJon Beauchamp,0.0,0.0,0.0,1.0
MarShon Brooks,0.0,0.0,0.0,0.0
Marc Gasol,1.0,0.16666666666666666,0.2857142857142857,6.0
Marcin Gortat,1.0,0.3333333333333333,0.5,3.0
Marco Belinelli,0.0,0.0,0.0,3.0
Marcus Derrickson,0.0,0.0,0.0,1.0
Marcus Georges-Hunt,0.0,0.0,0.0,1.0
Marcus Morris Sr.,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Marcus Smart,0.0,0.0,0.0,1.0
Marcus Thornton,0.0,0.0,0.0,1.0
Mario Hezonja,0.0,0.0,0.0,2.0
Mark Williams,0.0,0.0,0.0,0.0
Markel Brown,0.0,0.0,0.0,1.0
Markieff Morris,0.0,0.0,0.0,3.0
Marko Simonovic,0.0,0.0,0.0,2.0
Marques Bolden,0.0,0.0,0.0,1.0
Marquese Chriss,0.0,0.0,0.0,4.0
Marquis Teague,0.0,0.0,0.0,1.0
Marreese Speights,0.0,0.0,0.0,0.0
Marshall Plumlee,0.0,0.0,0.0,1.0
Martell Webster,0.0,0.0,0.0,1.0
Marvin Bagley III,0.0,0.0,0.0,2.0
Marvin Williams,1.0,0.25,0.4,4.0
Mason Jones,0.0,0.0,0.0,2.0
Mason Plumlee,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Matisse Thybulle,1.0,1.0,1.0,1.0
Matt Barnes,0.0,0.0,0.0,1.0
Matt Bonner,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Matt Ryan,0.0,0.0,0.0,1.0
Matthew Dellavedova,0.0,0.0,0.0,3.0
Maurice Harkless,0.0,0.0,0.0,1.0
Max Strus,0.0,0.0,0.0,4.0
Maxi Kleber,0.0,0.0,0.0,1.0
Melvin Ely,0.0,0.0,0.0,1.0
Melvin Frazier Jr.,0.0,0.0,0.0,2.0
Metta World Peace,0.0,0.0,0.0,1.0
Meyers Leonard,0.0,0.0,0.0,5.0
Mfiondu Kabengele,0.0,0.0,0.0,1.0
Micah Potter,0.0,0.0,0.0,1.0
Michael Beasley,0.0,0.0,0.0,2.0
Michael Carter-Williams,0.0,0.0,0.0,3.0
Michael Gbinije,0.0,0.0,0.0,1.0
Michael Kidd-Gilchrist,0.0,0.0,0.0,2.0
Michael Porter Jr.,0.0,0.0,0.0,2.0
Mickael Pietrus,0.0,0.0,0.0,1.0
Mikal Bridges,0.0,0.0,0.0,1.0
Mike Conley,0.0,0.0,0.0,3.0
Mike Dunleavy,0.0,0.0,0.0,2.0
Mike James,0.0,0.0,0.0,1.0
Mike Miller,0.0,0.0,0.0,0.0
Mike Muscala,0.0,0.0,0.0,2.0
Mike Scott,0.0,0.0,0.0,4.0
Miles Bridges,0.0,0.0,0.0,1.0
Miles Plumlee,0.0,0.0,0.0,1.0
Milos Teodosic,0.0,0.0,0.0,1.0
Mindaugas Kuzminskas,0.0,0.0,0.0,1.0
Miroslav Raduljica,0.0,0.0,0.0,1.0
Mirza Teletovic,0.0,0.0,0.0,1.0
Mitchell Creek,0.0,0.0,0.0,1.0
Mitchell Robinson,0.0,0.0,0.0,2.0
Mo Bamba,0.0,0.0,0.0,3.0
Mo Williams,0.0,0.0,0.0,1.0
Monte Morris,0.0,0.0,0.0,3.0
Montrezl Harrell,0.0,0.0,0.0,4.0
Moritz Wagner,0.0,0.0,0.0,3.0
Moses Brown,0.0,0.0,0.0,2.0
Moses Moody,0.0,0.0,0.0,1.0
Moses Wright,0.0,0.0,0.0,1.0
Mychal Mulder,0.0,0.0,0.0,1.0
Myles Powell,0.0,0.0,0.0,0.0
Myles Turner,0.0,0.0,0.0,2.0
Nando De Colo,0.0,0.0,0.0,1.0
Nassir Little,0.0,0.0,0.0,2.0
Nate Robinson,0.0,0.0,0.0,1.0
Nate Williams,0.0,0.0,0.0,1.0
Nate Wolters,0.0,0.0,0.0,2.0
Naz Reid,0.0,0.0,0.0,1.0
Nazr Mohammed,1.0,0.5,0.6666666666666666,2.0
Nemanja Bjelica,0.0,0.0,0.0,1.0
Nerlens Noel,0.0,0.0,0.0,3.0
Nic Claxton,0.0,0.0,0.0,2.0
Nick Calathes,0.0,0.0,0.0,0.0
Nick Collison,0.0,0.0,0.0,2.0
Nick Richards,0.0,0.0,0.0,1.0
Nick Young,0.0,0.0,0.0,1.0
Nicolas Batum,0.0,0.0,0.0,3.0
Nicolas Laprovittola,0.0,0.0,0.0,1.0
Nicolo Melli,0.0,0.0,0.0,2.0
Nigel Hayes,0.0,0.0,0.0,1.0
Nigel Williams-Goss,0.0,0.0,0.0,1.0
Nik Stauskas,0.0,0.0,0.0,2.0
Nikola Jokic,1.0,0.5,0.6666666666666666,2.0
Nikola Jovic,0.0,0.0,0.0,1.0
Nikola Mirotic,0.5,0.5,0.5,2.0
Nikola Pekovic,0.0,0.0,0.0,1.0
Nikola Vucevic,0.0,0.0,0.0,2.0
Noah Vonleh,0.0,0.0,0.0,2.0
Nolan Smith,0.0,0.0,0.0,1.0
Norman Powell,0.0,0.0,0.0,5.0
Norris Cole,0.0,0.0,0.0,1.0
Norvel Pelle,0.0,0.0,0.0,1.0
O.J. Mayo,0.0,0.0,0.0,3.0
OG Anunoby,0.0,0.0,0.0,0.0
Obi Toppin,0.0,0.0,0.0,1.0
Olivier Sarr,0.0,0.0,0.0,1.0
Omari Johnson,0.0,0.0,0.0,1.0
Omari Spellman,0.0,0.0,0.0,1.0
Omer Asik,0.0,0.0,0.0,1.0
Omri Casspi,0.0,0.0,0.0,3.0
Onyeka Okongwu,0.0,0.0,0.0,1.0
Orlando Johnson,0.0,0.0,0.0,0.0
Oshae Brissett,0.0,0.0,0.0,1.0
Otto Porter Jr.,0.0,0.0,0.0,2.0
P.J. Tucker,0.5,0.5,0.5,2.0
P.J. Washington,0.0,0.0,0.0,1.0
Pablo Prigioni,0.0,0.0,0.0,1.0
Paolo Banchero,0.0,0.0,0.0,1.0
Pascal Siakam,0.0,0.0,0.0,1.0
Pat Connaughton,0.0,0.0,0.0,4.0
Patricio Garino,0.0,0.0,0.0,1.0
Patrick Beverley,0.0,0.0,0.0,4.0
Patrick McCaw,0.0,0.0,0.0,2.0
Patrick Patterson,0.0,0.0,0.0,3.0
Patty Mills,0.0,0.0,0.0,3.0
Pau Gasol,0.0,0.0,0.0,1.0
Paul George,1.0,0.25,0.4,4.0
Paul Millsap,0.0,0.0,0.0,3.0
Paul Pierce,0.0,0.0,0.0,2.0
Paul Watson,0.0,0.0,0.0,3.0
Payton Pritchard,0.0,0.0,0.0,3.0
Pero Antic,0.0,0.0,0.0,1.0
Perry Jones III,0.0,0.0,0.0,1.0
Peyton Siva,0.0,0.0,0.0,1.0
Peyton Watson,0.0,0.0,0.0,1.0
Phil Pressey,0.0,0.0,0.0,2.0
Precious Achiuwa,0.0,0.0,0.0,0.0
Quenton Jackson,0.0,0.0,0.0,1.0
Quinn Cook,0.0,0.0,0.0,1.0
Quinndary Weatherspoon,0.0,0.0,0.0,3.0
R.J. Hampton,0.0,0.0,0.0,1.0
RJ Barrett,0.0,0.0,0.0,3.0
RJ Hunter,0.0,0.0,0.0,1.0
Rajon Rondo,0.0,0.0,0.0,1.0
Rakeem Christmas,0.0,0.0,0.0,2.0
Ramon Sessions,0.0,0.0,0.0,3.0
Randy Foye,0.0,0.0,0.0,3.0
Rashad Vaughn,0.0,0.0,0.0,1.0
Rasheed Wallace,0.0,0.0,0.0,1.0
Rasual Butler,0.0,0.0,0.0,1.0
Raul Neto,0.0,0.0,0.0,3.0
Ray McCallum,0.0,0.0,0.0,2.0
Ray Spalding,0.0,0.0,0.0,2.0
Rayjon Tucker,0.0,0.0,0.0,2.0
Raymond Felton,0.0,0.0,0.0,3.0
Reggie Bullock Jr.,0.0,0.0,0.0,1.0
Reggie Evans,0.0,0.0,0.0,1.0
Reggie Jackson,0.0,0.0,0.0,3.0
Reggie Williams,0.0,0.0,0.0,2.0
Richard Hamilton,0.0,0.0,0.0,1.0
Richard Jefferson,0.0,0.0,0.0,3.0
Richaun Holmes,0.0,0.0,0.0,2.0
Ricky Rubio,0.5,0.2,0.28571428571428575,5.0
Robert Covington,1.0,0.2,0.33333333333333337,5.0
Robert Sacre,0.0,0.0,0.0,2.0
Robert Williams III,0.0,0.0,0.0,2.0
Robin Lopez,1.0,0.25,0.4,4.0
Rodions Kurucs,0.0,0.0,0.0,1.0
Rodney Hood,0.0,0.0,0.0,2.0
Rodney McGruder,0.0,0.0,0.0,4.0
Rodney Purvis,0.0,0.0,0.0,1.0
Rodney Stuckey,0.0,0.0,0.0,4.0
Roger Mason Jr.,0.0,0.0,0.0,1.0
Romeo Langford,0.0,0.0,0.0,2.0
Ron Baker,0.0,0.0,0.0,0.0
Ron Harper Jr.,0.0,0.0,0.0,1.0
Rondae Hollis-Jefferson,0.0,0.0,0.0,2.0
Ronnie Brewer,0.0,0.0,0.0,1.0
Ronnie Price,0.0,0.0,0.0,1.0
Roy Hibbert,0.0,0.0,0.0,2.0
Royal Ivey,0.0,0.0,0.0,1.0
Royce O'Neale,0.0,0.0,0.0,3.0
Rudy Gay,0.0,0.0,0.0,3.0
Rudy Gobert,0.5,0.3333333333333333,0.4,3.0
Rui Hachimura,0.0,0.0,0.0,1.0
Russ Smith,0.0,0.0,0.0,2.0
Russell Westbrook,0.0,0.0,0.0,2.0
Ryan Anderson,0.0,0.0,0.0,5.0
Ryan Broekhoff,0.0,0.0,0.0,1.0
Ryan Hollins,0.0,0.0,0.0,1.0
Ryan Kelly,0.0,0.0,0.0,1.0
Saben Lee,0.0,0.0,0.0,1.0
Saddiq Bey,0.0,0.0,0.0,1.0
Salah Mejri,0.0,0.0,0.0,1.0
Sam Dekker,0.0,0.0,0.0,2.0
Sam Hauser,0.0,0.0,0.0,1.0
Sam Merrill,0.0,0.0,0.0,2.0
Sandro Mamukelashvili,0.0,0.0,0.0,1.0
Santi Aldama,0.0,0.0,0.0,1.0
Sasha Vujacic,0.0,0.0,0.0,1.0
Scottie Barnes,0.0,0.0,0.0,0.0
Scottie Lewis,0.0,0.0,0.0,1.0
Scotty Hopson,0.0,0.0,0.0,1.0
Sean Kilpatrick,0.0,0.0,0.0,2.0
Sean McDermott,0.0,0.0,0.0,1.0
Sebastian Telfair,0.0,0.0,0.0,1.0
Semi Ojeleye,0.0,0.0,0.0,1.0
Serge Ibaka,0.0,0.0,0.0,4.0
Sergio Rodriguez,0.0,0.0,0.0,1.0
Seth Curry,0.0,0.0,0.0,3.0
Shabazz Muhammad,0.0,0.0,0.0,1.0
Shabazz Napier,0.0,0.0,0.0,1.0
Shai Gilgeous-Alexander,0.0,0.0,0.0,1.0
Shake Milton,0.0,0.0,0.0,1.0
Shane Larkin,0.0,0.0,0.0,2.0
Shannon Brown,0.0,0.0,0.0,2.0
Shaquille Harrison,0.0,0.0,0.0,2.0
Sharife Cooper,0.0,0.0,0.0,1.0
Shaun Livingston,0.0,0.0,0.0,2.0
Shawn Marion,0.0,0.0,0.0,1.0
Shawne Williams,0.0,0.0,0.0,1.0
Shelvin Mack,0.0,0.0,0.0,2.0
Sindarius Thornwell,0.0,0.0,0.0,2.0
Skal Labissiere,0.0,0.0,0.0,3.0
Skylar Mays,0.0,0.0,0.0,1.0
Solomon Hill,0.0,0.0,0.0,2.0
Solomon Jones,0.0,0.0,0.0,1.0
Spencer Dinwiddie,0.0,0.0,0.0,2.0
Spencer Hawes,0.0,0.0,0.0,2.0
Stanley Johnson,0.0,0.0,0.0,2.0
Stanley Umude,0.0,0.0,0.0,1.0
Stephen Curry,1.0,1.0,1.0,2.0
Stephen Jackson,0.0,0.0,0.0,1.0
Sterling Brown,0.0,0.0,0.0,2.0
Steve Novak,0.0,0.0,0.0,2.0
Steven Adams,0.0,0.0,0.0,4.0
Svi Mykhailiuk,0.0,0.0,0.0,2.0
T.J. McConnell,0.0,0.0,0.0,5.0
T.J. Warren,0.0,0.0,0.0,1.0
Tacko Fall,0.0,0.0,0.0,3.0
Taj Gibson,0.5,1.0,0.6666666666666666,1.0
Tari Eason,0.0,0.0,0.0,1.0
Taurean Prince,0.0,0.0,0.0,3.0
Tayshaun Prince,0.0,0.0,0.0,2.0
Terance Mann,0.0,0.0,0.0,1.0
Terence Davis,0.0,0.0,0.0,1.0
Terrence Jones,0.0,0.0,0.0,1.0
Terrence Ross,0.0,0.0,0.0,1.0
Terry Rozier,0.0,0.0,0.0,4.0
Terry Taylor,0.0,0.0,0.0,2.0
Thaddeus Young,1.0,0.5,0.6666666666666666,2.0
Thanasis Antetokounmpo,0.0,0.0,0.0,4.0
Theo Maledon,0.0,0.0,0.0,1.0
Theo Pinson,0.0,0.0,0.0,2.0
Thomas Bryant,0.0,0.0,0.0,4.0
Thomas Robinson,0.0,0.0,0.0,1.0
Thomas Welsh,0.0,0.0,0.0,1.0
Thon Maker,0.0,0.0,0.0,1.0
Tiago Splitter,0.0,0.0,0.0,3.0
Tim Duncan,1.0,0.5,0.6666666666666666,2.0
Tim Frazier,0.0,0.0,0.0,3.0
Tim Hardaway Jr.,0.0,0.0,0.0,0.0
Tim Quarterman,0.0,0.0,0.0,2.0
Timofey Mozgov,0.0,0.0,0.0,3.0
Timothe Luwawu-Cabarrot,0.0,0.0,0.0,1.0
Tobias Harris,0.0,0.0,0.0,7.0
Tomas Satoransky,0.0,0.0,0.0,0.0
Toney Douglas,0.0,0.0,0.0,2.0
Tony Allen,0.0,0.0,0.0,1.0
Tony Bradley,0.0,0.0,0.0,1.0
Tony Parker,1.0,1.0,1.0,1.0
Tony Snell,0.0,0.0,0.0,4.0
Tony Wroten,0.0,0.0,0.0,2.0
Torrey Craig,0.0,0.0,0.0,1.0
Trae Young,1.0,1.0,1.0,1.0
Travis Wear,0.0,0.0,0.0,1.0
Tre Jones,0.0,0.0,0.0,2.0
Tremont Waters,0.0,0.0,0.0,1.0
Trendon Watford,0.0,0.0,0.0,1.0
Trent Forrest,0.0,0.0,0.0,2.0
Trevelin Queen,0.0,0.0,0.0,1.0
Treveon Graham,0.0,0.0,0.0,2.0
Trevon Duval,0.0,0.0,0.0,1.0
Trevor Ariza,0.0,0.0,0.0,4.0
Trevor Booker,0.0,0.0,0.0,1.0
Trevor Keels,0.0,0.0,0.0,1.0
Trey Burke,0.0,0.0,0.0,4.0
Trey Lyles,0.0,0.0,0.0,2.0
Trey Murphy III,0.0,0.0,0.0,1.0
Tristan Thompson,0.0,0.0,0.0,1.0
Troy Brown Jr.,0.0,0.0,0.0,2.0
Troy Daniels,0.0,0.0,0.0,1.0
Ty Jerome,0.0,0.0,0.0,3.0
Ty Lawson,0.0,0.0,0.0,1.0
Tyler Cook,0.0,0.0,0.0,2.0
Tyler Ennis,0.0,0.0,0.0,2.0
Tyler Hansbrough,0.0,0.0,0.0,1.0
Tyler Herro,0.0,0.0,0.0,2.0
Tyler Johnson,0.0,0.0,0.0,2.0
Tyler Lydon,0.0,0.0,0.0,1.0
Tyler Ulis,0.0,0.0,0.0,1.0
Tyler Zeller,0.0,0.0,0.0,3.0
Tyrell Terry,0.0,0.0,0.0,2.0
Tyrese Haliburton,0.0,0.0,0.0,2.0
Tyrese Maxey,0.0,0.0,0.0,2.0
Tyshawn Taylor,0.0,0.0,0.0,1.0
Tyson Chandler,0.0,0.0,0.0,3.0
Tyus Jones,0.0,0.0,0.0,4.0
Udonis Haslem,0.0,0.0,0.0,2.0
Vander Blue,0.0,0.0,0.0,1.0
Vernon Carey Jr.,0.0,0.0,0.0,1.0
Viacheslav Kravtsov,0.0,0.0,0.0,1.0
Victor Oladipo,0.0,0.0,0.0,2.0
Vince Carter,1.0,0.2,0.33333333333333337,5.0
Vincent Poirier,0.0,0.0,0.0,1.0
Vladimir Radmanovic,0.0,0.0,0.0,1.0
Vlatko Cancar,0.0,0.0,0.0,2.0
Wade Baldwin IV,0.0,0.0,0.0,1.0
Wayne Ellington,0.0,0.0,0.0,2.0
Wayne Selden,0.0,0.0,0.0,2.0
Wendell Carter Jr.,0.0,0.0,0.0,0.0
Wes Iwundu,0.0,0.0,0.0,2.0
Wesley Johnson,0.0,0.0,0.0,2.0
Wesley Matthews,0.0,0.0,0.0,6.0
Will Barton,0.0,0.0,0.0,1.0
Will Bynum,0.0,0.0,0.0,1.0
Will Cherry,0.0,0.0,0.0,1.0
Willie Cauley-Stein,0.0,0.0,0.0,3.0
Willie Green,0.0,0.0,0.0,1.0
Willie Reed,0.0,0.0,0.0,2.0
Willy Hernangomez,0.0,0.0,0.0,2.0
Wilson Chandler,0.0,0.0,0.0,1.0
Xavier Cooks,0.0,0.0,0.0,1.0
Xavier Henry,0.0,0.0,0.0,1.0
Xavier Moon,0.0,0.0,0.0,1.0
Xavier Rathan-Mayes,0.0,0.0,0.0,1.0
Xavier Silas,0.0,0.0,0.0,1.0
Xavier Sneed,0.0,0.0,0.0,2.0
Yuta Watanabe,0.0,0.0,0.0,2.0
Yves Pons,0.0,0.0,0.0,1.0
Zach LaVine,0.0,0.0,0.0,0.0
Zach Norvell Jr.,0.0,0.0,0.0,1.0
Zach Randolph,0.0,0.0,0.0,1.0
Zaza Pachulia,0.0,0.0,0.0,3.0
Zeke Nnaji,0.0,0.0,0.0,1.0
Zhaire Smith,0.0,0.0,0.0,1.0
Zhou Qi,0.0,0.0,0.0,1.0
Ziaire Williams,0.0,0.0,0.0,1.0
Zion Williamson,0.0,0.0,0.0,1.0
accuracy,0.09607498535442296,0.09607498535442296,0.09607498535442296,0.09607498535442296
macro avg,0.05835566308629532,0.062456006445320775,0.050753029003251626,1707.0
weighted avg,0.11530646093475619,0.09607498535442296,0.08826481076041709,1707.0
